13 	38 	24 	67
21 	100 	14 	14
2 	29 	95 	7
43 	22 	94 	81
86 	71 	70 	87
18 	43 	65 	91
27 	65 	37 	96
72 	38 	100 	7
60 	82 	5 	39
93 	61 	71 	20
60 	58 	37 	52
87 	38 	40 	59
81 	44 	36 	84
88 	72 	4 	18
18 	25 	52 	18
92 	55 	51 	39
33 	26 	35 	59
25 	9 	48 	31
23 	12 	40 	27
93 	28 	98 	47
49 	72 	22 	57
51 	20 	14 	34
64 	10 	51 	20
89 	37 	89 	58
74 	71 	85 	35
27 	64 	38 	30
64 	29 	27 	16
51 	82 	74 	71
51 	81 	47 	59
11 	21 	85 	90
46 	11 	10 	33
87 	95 	89 	73
18 	3 	14 	79
92 	9 	97 	39
20 	96 	30 	51
52 	47 	17 	5
4 	68 	46 	17
85 	48 	84 	1
8 	6 	15 	17
73 	81 	51 	69
34 	12 	73 	93
47 	80 	33 	12
53 	82 	85 	24
7 	60 	89 	11
21 	60 	79 	65
89 	76 	70 	90
29 	51 	86 	36
26 	76 	91 	42
57 	22 	24 	68
85 	13 	10 	58
85 	33 	61 	1
87 	72 	63 	40
21 	64 	79 	22
73 	81 	81 	80
23 	59 	23 	25
100 	83 	99 	12
26 	14 	28 	84
48 	85 	66 	89
63 	77 	95 	9
4 	38 	84 	88
41 	51 	65 	47
68 	0 	16 	77
18 	28 	32 	74
99 	53 	44 	24
67 	66 	52 	46
100 	67 	22 	74
38 	62 	49 	65
29 	78 	68 	42
18 	99 	15 	65
23 	73 	23 	68
69 	6 	0 	54
58 	15 	2 	19
60 	80 	53 	57
20 	29 	91 	99
58 	32 	67 	71
67 	9 	73 	81
90 	98 	13 	8
77 	43 	18 	10
94 	6 	55 	76
25 	46 	49 	83
60 	26 	5 	3
7 	83 	6 	46
25 	17 	41 	33
14 	49 	87 	84
6 	21 	27 	12
51 	1 	32 	4
88 	30 	15 	43
89 	78 	45 	56
89 	54 	10 	81
32 	94 	92 	1
85 	42 	29 	92
90 	75 	52 	63
60 	60 	44 	54
91 	89 	50 	53
30 	54 	63 	20
22 	70 	10 	75
87 	22 	79 	34
70 	95 	43 	35
1 	20 	12 	31
8 	69 	65 	84
